Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2045,146,92,170.3704,0
"27,28,26",Penis; Prostate; Testis,624,Guinea-Bissau,0,1,54,2050,187,133,246.2963,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2022,112,0,0,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2025,137,25,22.3214,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2030,173,61,54.4643,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2035,215,103,91.9643,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2040,256,144,128.5714,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2045,288,176,157.1429,0
"27,28,26",Penis; Prostate; Testis,638,"France, La R̩union",0,1,112,2050,304,192,171.4286,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2022,681,0,0,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2025,713,32,4.699,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2030,859,178,26.138,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2035,1040,359,52.7166,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2040,1271,590,86.6373,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2045,1574,893,131.1307,0
"27,28,26",Penis; Prostate; Testis,646,Rwanda,0,1,681,2050,1972,1291,189.5742,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2022,8,0,0,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2025,11,3,37.5,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2030,12,4,50,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2035,14,6,75,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2040,17,9,112.5,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2045,19,11,137.5,0
"27,28,26",Penis; Prostate; Testis,678,Sao Tome and Principe,0,1,8,2050,22,14,175,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2022,500,0,0,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2025,517,17,3.4,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2030,622,122,24.4,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2035,769,269,53.8,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2040,979,479,95.8,0
"27,28,26",Penis; Prostate; Testis,686,Senegal,0,1,500,2045,1264,764,152.8,0
